@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
176,21,101,2,120,0.016393,0.172131,0.913043,0.172131,0.086957,0.289655,0.094262,1.826087,0.929465
177,20,102,2,120,0.016393,0.163934,0.909091,0.163934,0.090909,0.277778,0.090164,1.818182,0.929931
178,19,103,2,120,0.016393,0.155738,0.904762,0.155738,0.095238,0.265734,0.086066,1.809524,0.9319
179,18,104,2,120,0.016393,0.147541,0.9,0.147541,0.1,0.253521,0.081967,1.8,0.938201
180,17,105,2,120,0.016393,0.139344,0.894737,0.139344,0.105263,0.241135,0.077869,1.789474,0.941121
181,16,106,2,120,0.016393,0.131148,0.888889,0.131148,0.111111,0.228571,0.07377,1.777778,0.941806
182,15,107,2,120,0.016393,0.122951,0.882353,0.122951,0.117647,0.215827,0.069672,1.764706,0.951119
183,14,108,2,120,0.016393,0.114754,0.875,0.114754,0.125,0.202899,0.065574,1.75,0.953329
184,13,109,2,120,0.016393,0.106557,0.866667,0.106557,0.133333,0.189781,0.061475,1.733333,0.955196
185,12,110,2,120,0.016393,0.098361,0.857143,0.098361,0.142857,0.176471,0.057377,1.714286,0.956916
186,11,111,2,120,0.016393,0.090164,0.846154,0.090164,0.153846,0.162963,0.053279,1.692308,0.957292
187,10,112,2,120,0.016393,0.081967,0.833333,0.081967,0.166667,0.149254,0.04918,1.666667,0.957446
188,9,113,2,120,0.016393,0.07377,0.818182,0.07377,0.181818,0.135338,0.045082,1.636364,0.960453
189,8,114,2,120,0.016393,0.065574,0.8,0.065574,0.2,0.121212,0.040984,1.6,0.962057
190,7,115,2,120,0.016393,0.057377,0.777778,0.057377,0.222222,0.10687,0.036885,1.555556,0.962507
191,6,116,2,120,0.016393,0.04918,0.75,0.04918,0.25,0.092308,0.032787,1.5,0.96401
192,6,116,1,121,0.008197,0.04918,0.857143,0.04918,0.142857,0.093023,0.028689,1.714286,0.964843
193,5,117,1,121,0.008197,0.040984,0.833333,0.040984,0.166667,0.078125,0.02459,1.666667,0.965833
194,4,118,1,121,0.008197,0.032787,0.8,0.032787,0.2,0.062992,0.020492,1.6,0.97176
195,3,119,1,121,0.008197,0.02459,0.75,0.02459,0.25,0.047619,0.016393,1.5,0.973342
196,3,119,0,122,0,0.02459,1,0.02459,0,0.048,0.012295,2,0.973751
197,2,120,0,122,0,0.016393,1,0.016393,0,0.032258,0.008197,2,0.986265
198,1,121,0,122,0,0.008197,1,0.008197,0,0.01626,0.004098,?,0.993507
